2023-11-16 09:13:49; CRITICAL; User Session Main; 9976; 9980] WMain Begin
2023-11-16 09:13:49; CRITICAL; User Session Main; 9976; 9980] Before manager initializing
2023-11-16 09:13:49; CRITICAL; User Session Manager; 9976; 9980] /------------User Session Helper start to initialize------------/
2023-11-16 09:13:49; INFO; User Session Manager; 9976; 10248] PowerRegisterSuspendResumeNotification 0
2023-11-16 09:13:49; INFO; User Session Manager; 9976; 10280] OnEffectivePowerModeChanged Start
2023-11-16 09:13:49; INFO; User Session Manager; 9976; 10280] OnEffectivePowerModeChanged mode=2
2023-11-16 09:13:49; INFO; User Session Manager; 9976; 10280] OnEffectivePowerModeChanged End
2023-11-16 09:13:49; CRITICAL; User Session Manager; 9976; 9980] /------------User Session Helper initialized: 0x00000000------------/
2023-11-16 09:13:49; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-16 09:13:49; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN Start
2023-11-16 09:13:49; WARNING; User Session Manager; 9976; 10284] WMI_DSTS(0x00130021) with invalid return value:0x00000000
2023-11-16 09:13:49; WARNING; User Session Manager; 9976; 10284] (BIOSInfoLib)GetProductLine:Motherboard.
2023-11-16 09:13:49; WARNING; User Session Manager; 9976; 10284] (BIOSInfoLib)GetProductSKU:???.
2023-11-16 09:13:49; WARNING; User Session Manager; 9976; 10284] WMI_DSTS(0x00130021) with invalid return value:0x00000000
2023-11-16 09:13:49; ERROR; User Session Manager; 9976; 10284] (BIOSInfoLib)GetSubBrand:ROG.
2023-11-16 09:13:49; INFO; AEF Core; 9976; 10284] Loaded library v5.6.2.0 successfully in ush
2023-11-16 09:13:49; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN End
2023-11-16 09:13:49; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-16 09:13:49; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 1
2023-11-16 09:13:49; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN Start
2023-11-16 09:13:50; INFO; GameBoxPlugIn; 9976; 10284] Loaded library v5.6.2.0 successfully in ush
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_JOIN End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 1
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 1
